Value,Disaggregation combinations using this value,Number of indicators
Accommodation and Food Services,1,1
Animal Production,1,1
Construction,1,1
Crop Production,1,1
"Education, Health, Recreation, and Other Services",1,1
Electricity and Water Supply,1,1
Finance and Insurance,1,1
Fishing,1,1
Forestry,1,1
Government Services,1,1
Information and Communication,1,1
Manufacturing,1,1
Mining and Quarrying,1,1
Other Wholesale Trade,1,1
"Professional, Scientifc, Technical, Admin/Services",1,1
Real Estate,1,1
Retail Trade,1,1
Transport,1,1
"Wholesale, Retail Trade, repair of Motor vehicles",1,1
