Year,Series,Transport Type,Unit,Value
2010,Change in arrivals,,Change in number of arrivals,12155
2011,Change in arrivals,,Change in number of arrivals,11250
2012,Change in arrivals,,Change in number of arrivals,72506
2013,Change in arrivals,,Change in number of arrivals,36001
2014,Change in arrivals,,Change in number of arrivals,-28392
2015,Change in arrivals,,Change in number of arrivals,-41590
2016,Change in arrivals,,Change in number of arrivals,64176
2017,Change in arrivals,,Change in number of arrivals,-18878
2018,Change in arrivals,,Change in number of arrivals,17480
2019,Change in arrivals,,Change in number of arrivals,-94216
2020,Change in arrivals,,Change in number of arrivals,-275720
2010,Change in arrivals,Airplane,Change in number of arrivals,-3495
2011,Change in arrivals,Airplane,Change in number of arrivals,-3220
2012,Change in arrivals,Airplane,Change in number of arrivals,14201
2013,Change in arrivals,Airplane,Change in number of arrivals,1948
2014,Change in arrivals,Airplane,Change in number of arrivals,-1301
2015,Change in arrivals,Airplane,Change in number of arrivals,-18856
2016,Change in arrivals,Airplane,Change in number of arrivals,5165
2017,Change in arrivals,Airplane,Change in number of arrivals,14053
2018,Change in arrivals,Airplane,Change in number of arrivals,6464
2019,Change in arrivals,Airplane,Change in number of arrivals,4994
2020,Change in arrivals,Airplane,Change in number of arrivals,-102101
2010,Change in arrivals,Cruiseships,Change in number of arrivals,15650
2011,Change in arrivals,Cruiseships,Change in number of arrivals,14470
2012,Change in arrivals,Cruiseships,Change in number of arrivals,58305
2013,Change in arrivals,Cruiseships,Change in number of arrivals,34053
2014,Change in arrivals,Cruiseships,Change in number of arrivals,-27091
2015,Change in arrivals,Cruiseships,Change in number of arrivals,-22734
2016,Change in arrivals,Cruiseships,Change in number of arrivals,59011
2017,Change in arrivals,Cruiseships,Change in number of arrivals,-32931
2018,Change in arrivals,Cruiseships,Change in number of arrivals,11016
2019,Change in arrivals,Cruiseships,Change in number of arrivals,-99210
2020,Change in arrivals,Cruiseships,Change in number of arrivals,-173619
2010,Total number of arrivals,,Total number of arrivals,237648
2011,Total number of arrivals,,Total number of arrivals,248898
2012,Total number of arrivals,,Total number of arrivals,321404
2013,Total number of arrivals,,Total number of arrivals,357405
2014,Total number of arrivals,,Total number of arrivals,329013
2015,Total number of arrivals,,Total number of arrivals,287423
2016,Total number of arrivals,,Total number of arrivals,351599
2017,Total number of arrivals,,Total number of arrivals,332721
2018,Total number of arrivals,,Total number of arrivals,350201
2019,Total number of arrivals,,Total number of arrivals,255985
2020,Total number of arrivals,,Total number of arrivals,82366
2010,Total number of arrivals,Airplane,Total number of arrivals,97180
2011,Total number of arrivals,Airplane,Total number of arrivals,93960
2012,Total number of arrivals,Airplane,Total number of arrivals,108161
2013,Total number of arrivals,Airplane,Total number of arrivals,110109
2014,Total number of arrivals,Airplane,Total number of arrivals,108808
2015,Total number of arrivals,Airplane,Total number of arrivals,89952
2016,Total number of arrivals,Airplane,Total number of arrivals,95117
2017,Total number of arrivals,Airplane,Total number of arrivals,109170
2018,Total number of arrivals,Airplane,Total number of arrivals,115634
2019,Total number of arrivals,Airplane,Total number of arrivals,120628
2020,Total number of arrivals,Airplane,Total number of arrivals,18527
2010,Total number of arrivals,Cruiseships,Total number of arrivals,140468
2011,Total number of arrivals,Cruiseships,Total number of arrivals,154938
2012,Total number of arrivals,Cruiseships,Total number of arrivals,213243
2013,Total number of arrivals,Cruiseships,Total number of arrivals,247296
2014,Total number of arrivals,Cruiseships,Total number of arrivals,220205
2015,Total number of arrivals,Cruiseships,Total number of arrivals,197471
2016,Total number of arrivals,Cruiseships,Total number of arrivals,256482
2017,Total number of arrivals,Cruiseships,Total number of arrivals,223551
2018,Total number of arrivals,Cruiseships,Total number of arrivals,234567
2019,Total number of arrivals,Cruiseships,Total number of arrivals,135357
2020,Total number of arrivals,Cruiseships,Total number of arrivals,60401
