Year,Value,Series
1967,77710,Total population
1979,111251,Total population
1989,142419,Total population
1999,186678,Total population
2009,234023,Total population
2016,272459,Total population
2020,300019,Total population
2021,307000,Population estimates
2022,314142,Population estimates
2023,321451,Population estimates
2024,328931,Population estimates
2025,336584,Population estimates
2026,344415,Population estimates
2027,352428,Population estimates
2028,360628,Population estimates
2029,369018,Population estimates
